Los Alamos National Laboratory Poisson Superfish
Program SF7 written by James H. Billen and Lloyd M. Young

The original Poisson Superfish codes were developed
by Ron F. Holsinger in collaboration with Klaus Halbach.
These programs are provided as a service to the accelerator
community by the Los Alamos Accelerator Code Group (LAACG).

(c) Copyright 1985-2005, by the Regents of the University of California.        
This software was produced under U. S. Government contract W-7405-ENG-36        
by Los Alamos National Laboratory, which is operated by the University          
of California for the U. S. Department of Energy.  Neither the Government       
nor the University makes any warranty, express or implied, or assumes           
any liability or responsibility for its use, or represents that use of          
this software would not infringe privately owned rights.                        
Unpublished - rights reserved under Copyright Laws of the United States.        


Program SF7  7.17  released 1-13-2006 

Program file: C:\LANL\SF7.EXE
SF.INI file: C:\LANL\SF.INI  2-11-2021   4:14:24
Solution file C:\LANL\LINAC\DOUBLE_REENTRANT\DOUBLE_REENTRANT.T35.
Memory used for DOUBLE_REENTRANT.T35 arrays:       1.323 M
Reading keyword commands and data from file:
C:\LANL\LINAC\DOUBLE_REENTRANT\DOUBLE_REENTRANT.IN7

Electromagnetic fields for a rectangular area with corners at:
(Zmin,Rmin) = (0.0,0.0)
(Zmax,Rmax) = (54,8)
Z and R increments:   270    40

      Z             R              Ez            Er            |E|           H 
    (mm)          (mm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
   0.00000       0.00000      1.843326E-02  0.000000E+00  1.843326E-02  0.000000E+00
  0.200000       0.00000      1.846500E-02  0.000000E+00  1.846500E-02  0.000000E+00
  0.400000       0.00000      1.856446E-02  0.000000E+00  1.856446E-02  0.000000E+00
  0.600000       0.00000      1.872909E-02  0.000000E+00  1.872909E-02  0.000000E+00
  0.800000       0.00000      1.895254E-02  0.000000E+00  1.895254E-02  0.000000E+00
   1.00000       0.00000      1.924522E-02  0.000000E+00  1.924522E-02  0.000000E+00
   1.20000       0.00000      1.960468E-02  0.000000E+00  1.960468E-02  0.000000E+00
   1.40000       0.00000      2.002695E-02  0.000000E+00  2.002695E-02  0.000000E+00
   1.60000       0.00000      2.052374E-02  0.000000E+00  2.052374E-02  0.000000E+00
   1.80000       0.00000      2.109241E-02  0.000000E+00  2.109241E-02  0.000000E+00
   2.00000       0.00000      2.172659E-02  0.000000E+00  2.172659E-02  0.000000E+00
   2.20000       0.00000      2.244356E-02  0.000000E+00  2.244356E-02  0.000000E+00
   2.40000       0.00000      2.323912E-02  0.000000E+00  2.323912E-02  0.000000E+00
   2.60000       0.00000      2.410487E-02  0.000000E+00  2.410487E-02  0.000000E+00
   2.80000       0.00000      2.506424E-02  0.000000E+00  2.506424E-02  0.000000E+00
   3.00000       0.00000      2.611133E-02  0.000000E+00  2.611133E-02  0.000000E+00
   3.20000       0.00000      2.723545E-02  0.000000E+00  2.723545E-02  0.000000E+00
   3.40000       0.00000      2.846689E-02  0.000000E+00  2.846689E-02  0.000000E+00
   3.60000       0.00000      2.979787E-02  0.000000E+00  2.979787E-02  0.000000E+00
   3.80000       0.00000      3.121510E-02  0.000000E+00  3.121510E-02  0.000000E+00
   4.00000       0.00000      3.275662E-02  0.000000E+00  3.275662E-02  0.000000E+00
   4.20000       0.00000      3.441252E-02  0.000000E+00  3.441252E-02  0.000000E+00
   4.40000       0.00000      3.616652E-02  0.000000E+00  3.616652E-02  0.000000E+00
   4.60000       0.00000      3.806551E-02  0.000000E+00  3.806551E-02  0.000000E+00
   4.80000       0.00000      4.009718E-02  0.000000E+00  4.009718E-02  0.000000E+00
   5.00000       0.00000      4.224181E-02  0.000000E+00  4.224181E-02  0.000000E+00
   5.20000       0.00000      4.455644E-02  0.000000E+00  4.455644E-02  0.000000E+00
   5.40000       0.00000      4.702599E-02  0.000000E+00  4.702599E-02  0.000000E+00
   5.60000       0.00000      4.962676E-02  0.000000E+00  4.962676E-02  0.000000E+00
   5.80000       0.00000      5.242752E-02  0.000000E+00  5.242752E-02  0.000000E+00
   6.00000       0.00000      5.540998E-02  0.000000E+00  5.540998E-02  0.000000E+00
   6.20000       0.00000      5.854588E-02  0.000000E+00  5.854588E-02  0.000000E+00
   6.40000       0.00000      6.191747E-02  0.000000E+00  6.191747E-02  0.000000E+00
   6.60000       0.00000      6.550279E-02  0.000000E+00  6.550279E-02  0.000000E+00
   6.80000       0.00000      6.926829E-02  0.000000E+00  6.926829E-02  0.000000E+00
   7.00000       0.00000      7.331177E-02  0.000000E+00  7.331177E-02  0.000000E+00
   7.20000       0.00000      7.760701E-02  0.000000E+00  7.760701E-02  0.000000E+00
   7.40000       0.00000      8.211442E-02  0.000000E+00  8.211442E-02  0.000000E+00
   7.60000       0.00000      8.694962E-02  0.000000E+00  8.694962E-02  0.000000E+00
   7.80000       0.00000      9.208146E-02  0.000000E+00  9.208146E-02  0.000000E+00
   8.00000       0.00000      9.746353E-02  0.000000E+00  9.746353E-02  0.000000E+00
